Sample in Buffer,Sample in Window,TRIGGER,u_fifo_ctrl/tFpgaRead[63:0],u_fifo_ctrl/tFpgaWrite[63:0],u_fifo_ctrl/tMaxPcLoop[63:0],u_fifo_ctrl/tPcLoop[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
707,707,0,259,1087,771078,94235
708,708,0,259,1087,771078,94235
709,709,0,259,1087,771078,94235
710,710,0,259,1087,771078,94235
711,711,0,259,1087,771078,94235
712,712,0,259,1087,771078,94235
713,713,0,259,1087,771078,94235
714,714,0,259,1087,771078,94235
715,715,0,259,1087,771078,94235
716,716,0,259,1087,771078,94235
717,717,0,259,1087,771078,94235
718,718,0,259,1087,771078,94235
719,719,0,259,1087,771078,94235
720,720,0,259,1087,771078,94235
721,721,0,259,1087,771078,94235
722,722,0,259,1087,771078,94235
723,723,0,259,1087,771078,94235
724,724,0,259,1087,771078,94235
725,725,0,259,1087,771078,94235
726,726,0,259,1087,771078,94235
727,727,0,259,1087,771078,94235
728,728,0,259,1087,771078,94235
729,729,0,259,1087,771078,94235
730,730,0,259,1087,771078,94235
731,731,0,259,1087,771078,94235
732,732,0,259,1087,771078,94235
733,733,0,259,1087,771078,94235
734,734,0,259,1087,771078,94235
735,735,0,259,1087,771078,94235
736,736,0,259,1087,771078,94235
737,737,0,259,1087,771078,94235
738,738,0,259,1087,771078,94235
739,739,0,259,1087,771078,94235
740,740,0,259,1087,771078,94235
741,741,0,259,1087,771078,94235
742,742,0,259,1087,771078,94235
743,743,0,259,1087,771078,94235
744,744,0,259,1087,771078,94235
745,745,0,259,1087,771078,94235
746,746,0,259,1087,771078,94235
747,747,0,259,1087,771078,94235
748,748,0,259,1087,771078,94235
749,749,0,259,1087,771078,94235
750,750,0,259,1087,771078,94235
751,751,0,259,1087,771078,94235
752,752,0,259,1087,771078,94235
753,753,0,259,1087,771078,94235
754,754,0,259,1087,771078,94235
755,755,0,259,1087,771078,94235
756,756,0,259,1087,771078,94235
757,757,0,259,1087,771078,94235
758,758,0,259,1087,771078,94235
759,759,0,259,1087,771078,94235
760,760,0,259,1087,771078,94235
761,761,0,259,1087,771078,94235
762,762,0,259,1087,771078,94235
763,763,0,259,1087,771078,94235
764,764,0,259,1087,771078,94235
765,765,0,259,1087,771078,94235
766,766,0,259,1087,771078,94235
767,767,0,259,1087,771078,94235
768,768,0,259,1087,771078,94235
769,769,0,259,1087,771078,94235
770,770,0,259,1087,771078,94235
771,771,0,259,1087,771078,94235
772,772,0,259,1087,771078,94235
773,773,0,259,1087,771078,94235
774,774,0,259,1087,771078,94235
775,775,0,259,1087,771078,94235
776,776,0,259,1087,771078,94235
777,777,0,259,1087,771078,94235
778,778,0,259,1087,771078,94235
779,779,0,259,1087,771078,94235
780,780,0,259,1087,771078,94235
